SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M14P00001,1/2/14,"Drakes Estero, Bed #20",OYPC,,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00002,1/2/14,"Drakes Estero, Bed #12-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00003,1/2/14,"Drakes Estero, Bed #12-M",MUSS,<,35,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00004,1/2/14,"Drakes Estero, Channel Buoy",MUSS,,42,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00005,1/2/14,"Tomales Bay, Lease #M430-06-O",OYPC,,71,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00006,1/2/14,"Tomales Bay, Lease #M430-06-M",MUBC,,233,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00007,1/2/14,"Tomales Bay, Lease #M430-05-O",OYPC,,40,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.11535,-122.85936
M14P00014,1/2/14,"Tomales Bay, Lease #M430-17",OYPC,,70,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00015,1/6/14,"Tomales Bay, Lease #M430-04",OYPC,,44,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00023,1/6/14,"Tomales Bay, Lease #M430-14",OYPC,,49,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M14P00024,1/6/14,"Tomales Bay, Lease #M430-17",OYPC,,42,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00028,1/6/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,35,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00029,1/6/14,"Tomales Bay, Lease #M430-06-M",MUBC,,248,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00030,1/6/14,"Tomales Bay, Lease #M430-06-O",OYPC,,39,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00031,1/6/14,"Monterey Bay, Commercial Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.605724,-121.889411
M14P00032,1/6/14,"Tomales Bay, Lease #M430-19",OYPC,,55,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00035,1/8/14,"Tomales Bay, Lease #M430-11-O",OYPC,,68,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2095,-122.9382
