county,year,month,chlorophyll,rain_mm,lst_c,sst_c,marine_heatwave_days,Nitrate,Total_Phosphorus,spec_cond,streamflow,stream_width,water_temp,tds,tss,turbidity,ph,conductivity,do_mg_l,salinity,Developed_Total,Agriculture_Total,Forest_Total,Shrub_Grass_Total,Wetlands_Total,OpenWater,county_population,total_valid_area_km2,urban_area_km2,urban_pct,non_urban_area_km2,non_urban_pct,roads_area_km2,roads_pct,urban_population_density_km2,non_urban_population_density_km2,total_population_density_km2,date
Alameda,2017,3,80.361,67.751,21.911,12.834375,NA,0.810369333,0.14875,1230,25,46,13.5,40,11,26,7.890000000000001,384.5,8.2,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-03-01
Alameda,2017,4,59.166,55.719,22.071,12.2385,NA,1.107093704,0.108214286,820,2.1,18,15.8,100,29,27,7.9,137,9.100000000000001,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-04-01
Alameda,2017,5,44.564,3.53,30.691,11.829375,NA,1.401646133,0.110166667,824.5,3.1,16,18.9,75,36,25,7.905,97,9.149999999999999,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-05-01
Alameda,2017,6,59.5,1.179,35.565,12.2725,NA,0.642084615,0.098951176,1353,NA,35,15.41,73,87.65,4.14,7.595,342.8,8.14,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-06-01
Alameda,2017,7,51.639,0,39.424,12.86625,NA,1.82,0.106,NA,NA,NA,23,83,83,45,8.155000000000001,561,7.8,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-07-01
Alameda,2017,8,56.542,0.062,36.178,15.00625,NA,NA,0.32,1370,NA,25.5,21.15,110,54,25,7.79,290,8.5,26.75,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-08-01
Alameda,2017,9,52.715,1.78,32.283,16.054375,NA,NA,NA,NA,NA,58,21.8,NA,NA,NA,7.665,417,7.25,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-09-01
Alameda,2017,10,48.011,9.112,28.28,13.03625,NA,NA,0.19,NA,1.9,8,16.6,150,20,15,7.74,264,10.2,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-10-01
Alameda,2017,11,49.048,52.411,18.03,14.191875,NA,0.32,0.58,NA,6.3,37,14.3,NA,11.5,NA,NA,NA,NA,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-11-01
Alameda,2017,12,54.555,10.628,14.783,12.37625,NA,NA,NA,NA,1.3050000000000002,9,8.7,NA,NA,NA,NA,NA,NA,NA,33.798852987000004,1.384531327,10.473842666,47.33219335,2.057007317,4.115040246,1644303,2126.9097,375.4476,17.65225858,1472.4999,69.23189546,278.9622,13.11584596,4379.580533,1116.674439,773.0948803,2017-12-01
